(-0.10000000000000001, -0.10000000000000001, -0.10000000000000001)	[-0.21024335 -0.21024335  0.99152093]
(-0.10000000000000001, -0.10000000000000001, -0.089473684210526316)	[-0.18443951 -0.18443951  0.95608314]
(-0.10000000000000001, -0.10000000000000001, -0.078947368421052641)	[-0.15998982 -0.15998982  0.9253451 ]
(-0.10000000000000001, -0.10000000000000001, -0.068421052631578952)	[-0.13672574 -0.13672574  0.89899651]
(-0.10000000000000001, -0.10000000000000001, -0.05789473684210527)	[-0.11448186 -0.11448186  0.87677857]
(-0.10000000000000001, -0.10000000000000001, -0.047368421052631587)	[-0.09309648 -0.09309648  0.85847819]
(-0.10000000000000001, -0.10000000000000001, -0.036842105263157898)	[-0.07241178 -0.07241178  0.84392339]
(-0.10000000000000001, -0.10000000000000001, -0.026315789473684223)	[-0.05227351 -0.05227351  0.8329797 ]
(-0.10000000000000001, -0.10000000000000001, -0.015789473684210534)	[-0.03253048 -0.03253048  0.82554733]
(-0.10000000000000001, -0.10000000000000001, -0.0052631578947368446)	[-0.01303384 -0.01303384  0.82155919]
(-0.10000000000000001, -0.10000000000000001, 0.0052631578947368307)	[ 0.00636374  0.00636374  0.82097954]
(-0.10000000000000001, -0.10000000000000001, 0.01578947368421052)	[ 0.02580893  0.02580893  0.8238033 ]
(-0.10000000000000001, -0.10000000000000001, 0.026315789473684209)	[ 0.04544867  0.04544867  0.83005592]
(-0.10000000000000001, -0.10000000000000001, 0.036842105263157898)	[ 0.06543106  0.06543106  0.83979391]
(-0.10000000000000001, -0.10000000000000001, 0.04736842105263156)	[ 0.08590619  0.08590619  0.85310595]
(-0.10000000000000001, -0.10000000000000001, 0.057894736842105249)	[ 0.1070269   0.1070269   0.87011468]
(-0.10000000000000001, -0.10000000000000001, 0.068421052631578938)	[ 0.12894933  0.12894933  0.89097922]
(-0.10000000000000001, -0.10000000000000001, 0.078947368421052627)	[ 0.1518333   0.1518333   0.91589851]
(-0.10000000000000001, -0.10000000000000001, 0.089473684210526316)	[ 0.17584231  0.17584231  0.94511556]
(-0.10000000000000001, -0.10000000000000001, 0.10000000000000001)	[ 0.20114304  0.20114304  0.97892279]
(-0.10000000000000001, -0.089473684210526316, -0.10000000000000001)	[-0.21321115 -0.19076787  1.01677503]
(-0.10000000000000001, -0.089473684210526316, -0.089473684210526316)	[-0.18715478 -0.16745427  0.9799895 ]
(-0.10000000000000001, -0.089473684210526316, -0.078947368421052641)	[-0.16242442 -0.14532711  0.94805917]
(-0.10000000000000001, -0.089473684210526316, -0.068421052631578952)	[-0.13886129 -0.12424431  0.92067283]
(-0.10000000000000001, -0.089473684210526316, -0.05789473684210527)	[-0.1163069  -0.10406407  0.89756949]
